text,emotion
Everyone's going to think I'm a gold digger Hahahaha,happiness
i am a very emotional girl that everytime people ask me about sad things i will feel very devastated and even start to cry,sadness
i hen hao fa hao de hao hmm i jus feel shocked i will nv expect this is from you,surprise
i feel very lucky to have got to know it so well over the years,neutral
i feel his eyes on me as i walk back along the passage to my room to my beloved husband,love
i feel im not angry,anger
i go to a blog i feel like i have something clever or funny to add that no one has said before,fun
i feel outraged about my own participation in my oppression,anger
i feel uncertain i just listen to india arie s song strength courage and wisdom and it lifts me up and reminds me of what i m made of,anger
i feel so blessed to live in a temperate southern state where outdoor activities are feasible and even easy to enjoy year round,happiness
i feel joyful and yet so very sober,fun
i enjoyed our talk today and didn t even feel bothered that it started out a little bumpy gt with even a few bumps in the middle,happiness
i feel so eager to be accepted so i can chat,enthusiasm
i feel really uncomfortable at parties,relief
i sit here crying feeling your loss suffering from a unbearable pain i don t know what was wrong what made you leave me i feel so hollow with you gone misery has taken up my heart he s been there since you left i begged you to stay but you laughed in my face what am i supposed to do,empty
i say may the god be with u then y are u still feeling scared,neutral
i miss this ability that appears to have somewhat diminished in the last few months i love writing and as i read again my last sentences i feel reassurance filling me as the wording sings a sweet music to my ears and my heart rejoices,love
i feel totally fab in it,neutral
Today is a blessed day,love
i think it is that i m avoiding feeling because i know that when i do feel it s going to hurt,empty
i took a few tests and one of them spit this out at me you surrender in love when you feel admired and valued by your partner,love
i pray that i can always see the faces of the dream on staff making me feel welcomed inspired and appreciated over and over again as i try to do justice to the art of storytelling,neutral
"Every time it rains, I see at least 1 ambulance",sadness
i am the most unattractive thing god ever created and nursing that thought so much that i literally feel ugly,neutral
washing up for the 3rd time today. Only now it's every plate and pan we own plus the arse has been burnt out of half the pans.,happiness
thank youuuu for coming to my competition!!!! bestfriends love yallll &lt;3,surprise
im feeling fucking hateful right now so its time for me to sit down and have a chat with you all,hate
i feel hated by other girls,hate
Yeah I'm kinda glad I did stay home,relief
Gooooood morning loves.,empty
i realised whenever im negative or feeling nostalgic id blog,neutral
That feel when you're in love with a girl who lives a thousand miles away. women,sadness
i yoga class this morning i am feeling very joyful so i thought that i would share this with you,fun
i had a feeling that there was a person inside of the chest but i had no idea the connection she had to the ninja dudes cant remember what they were called hehe that completly caught me by surprised and i liked that bit of a twist in the episode,surprise
happy birthday Steve..!! Wish you the best luck ;)) I ll send you soon my present!,surprise
ive been feeling a little envious of all the lovely things people in the uk have been getting up to during the summer holidays which seems absolutely ridiculous given that once id have spent every waking moment wishing i could be by a pool whod have thought id ever want anything more than that,love
im not feeling very funny tonight,fun
i dont know i really hate that lonely feeling i dont like the feeling of not being accepted though i often feel that way and just have to keep quiet cause i dont really have a person to share my stupid woes with,hate
On the way to sthlm - it will maybe be a movie // cool,relief
i didnt feel comfortable wearing lolita anymore,relief
i feel angry because i have led myself to leading people to believe i couldnt do this,anger
definitely spent my weekend not working,surprise
i feel like the epitome of everything i ever hated about high school,hate
i know i m selfish and spoilt to wanna be pampered and i hate feeling or being broke,hate
im tired but feeling rather contented,happiness
i was already feeling loved for having been asked to be in the bridal party the thank you note made me feel even more so,love
i feel like this insecurity is a good thing when i first started writing i pictured it all,neutral
i always walk away from spending time with her feeling joyful and refreshed,fun
i want you to know i am funny and sarcastic but most importantly i want you step away from this feeling invigorated with compassion and kindness,fun
i was very tense all the way through despite feeling relatively safe with her,neutral
i really want a friend that i can be with for as long as we comfortable and considering that it is really hard for me to make friends and bond with them to the point that we could insult each other without feeling offended its a tough luck,relief
i feel like that empty space is nothing but a dust grease grime trap,empty
i feel i owe it to myself and the perry bible fellowship not to turn a joyful diversion into a long career nicholas explained today,fun
i traded i drew a little portrait of her because shes gorgeoussss but she decided shed feel funny hanging a picture of herself so ive been put on the job of creating a new little thing for her,fun
i wont ask for forgiveness to myself too because if i am the one who being treated in such way i would feel angry too,anger
"so sore im basically limping, i look like stupid and people keep giving me weird looks",happiness
i am sitting here on my flowerpot and i am feeling so excited,enthusiasm
i have found myself in past relationships where no matter how much of your heart and soul and feelings you poured out it was not enough and that can often leave you feeling empty and drained,empty
i am feeling very energetic today for some unknown reason,neutral
i can get grumpy and pimply and not know why and then feel shocked when i get my period,surprise
i feel comfortable to lie on my own,relief
i just love that feeling and others to see very surprised very surprised and kind to others awoke feeling,surprise
i know about it i feel eager to see it and if i feel i can adequately discuss it with my children without impairing their spiritual development then i want to share it with them as a talking point,enthusiasm
i study its lovely out here and i feel so blessed to be a,love
im glad to say that i have cooled down a bit although having a cousin in the same grade may make me feel a little more eager on the princess behalf,enthusiasm
i hate how people always ask me how i don t feel burdened by all these,hate
i feel empty and am trying to fill it,empty
i had been feeling a bit discouraged about the future of our denomination,anger
i feel so empty and confused without you,empty
at panera for lunch byyy myself aww,empty
i walk into work feeling pleased that i had made it and hating it for making me compromise my family at the same time,relief
Oh early morning preachings by my father,happiness
i told the psychiatrist that i hadnt had a day when i felt like i used to feel since november she seemed shocked,surprise
Something was stolen.,anger
i have learned to manage my anxiety and channel more positive outlets when i feel stressed such as exercise and music,sadness
i paid top dollar at a school fundraiser but walked away feeling special because the store was open to us after hours and we were served wine and cheese,fun
i feel so blessed to be able to enjoy all the sites and sounds of his creation,happiness
i still feel highly suspicious but not unduly surprised that land registry are unable to produce the claimed authentic copy of the survey plans that were not destroyed,surprise
i feel empty like all the time,empty
i feel like im being held hostage in class and i leave feeling spiritually and physically empty,empty
i wanted to tell him that it hurt my feelings when he ignored me and i wanted to ask him what it is he hates about me so much and i wanted him to either be a total jerk or very apologetic,hate
i feel safe when you are with me you show me fun things to do you make my life much better the best father i know is you,fun
im still laughing over here because i know the feeling and its just too funny,fun
i know how you feel and i actually in a perverse kind of way take some comfort in the fact that even you feel that way currently,relief
i feel excited today writing this comeback post after almost months,enthusiasm
just got home from the last day of school. graduation tomorrow.,surprise
i love helping others but i feel ashamed because i can t even help myself shame,love
"'k, going to curl up and watch random mind-numbing DVD in hopes that rest will cure runny nose. Night folks",enthusiasm
i could talk myself tired and whatever i said would still feel inadequate,hate
i love you tube but sometimes i feel that the report abuse button gets abused heavily and i feel companies like you tube and google are not doing enough to prevent personal attacks and the miss use of the report abuse button,love
i could talk myself tired and whatever i said would still feel inadequate,hate
i feel very virtuous dinner at casa bonita with friends from out of town a fun trip to the denver aquarium with my friends a night out to see the new muppet movie a trip to see the t,fun
i go to a blog i feel like i have something clever or funny to add that no one has said before,fun
i look in the mirror i find for myself fine nothing incorrect with persons superfluous rounding s but i find it so depressing that i feel enraged and supervise over the rage towards my protect and i know its incorrect,anger
Desi boys was actually a gd movie nt a laughin riot but gd 1 time watch specially whn I'd no hopes w/ it! bollywood,surprise
i do hope god feels like giving to charity today xd anywho i have two concert reviews to write up but since i feel like athena is trying to come out of my skull it will have to wait for another day and if you were curious i saw motion city soundtrack last friday and it was omg so funn,fun
i feel numb and in shock and realize it unlike this morning but im watching doctor who now and i have to write an english essay which makes me wish my audition had been after that due date because then maybe i would have time to feel this numb bleak fuck tard of an emotional heart attack,surprise
im on my period but that doesnt change the fact that i feel so discontent sometimes so intellectually unstimulated so emotionally tempermental and unsatisfied,happiness
i will admit i started to feel unhappy and decided to end it for a break,happiness
i earmarked our topic for next week how do i reconcile the pleasure i feel at being more acceptable by a standard i hate,hate
i feel so devoted to my relationship and to myself which luckily go hand in hand for me,neutral
i feel so hated and ugly,hate
i feel someone is about to replace me or at least divine your full attention to,neutral
i still have feelings for this person what they did is just hateful and cold its just they left me feeling like im not good enough for anyone else and that their was always someone better and i was just too blind to see and it all becomes painfully visible at the end,hate
im feeling so loved,love
ive recently found myself caught in uncomfortable loops of negative pessimistic thoughts which leave me feeling agitated and motivated to act out of fear,relief
im leery but this product seems to be the most hopeful and i feel adventurous,neutral
ive explained that no actually i do feel the need to mention it because so often it doesnt happen and they are shocked and disbelieving,surprise
im not angry i just feel stupid,anger
i started yelling out for everyone to leave while feeling enraged,anger
i just feel so very lethargic and apathetic and im a bit frustrated by it because i cant seem to get out of this funk,fun
I have an intense of screwing in lightbulbs because I feel like it's going to shatter in my hands.,sadness
i never would have traded graces life for her i feel this push inside that tells me that she would be pleased,relief
being involved in a car accident and having my thumb caught in the glove compartment my sister and i had a fear of finally telling my parents,love
"BTW, 'nathanfillion' is trying to beat his Flight Control score as well, maybe you should follow each other?",enthusiasm
"Yes , I know . I regret it very much .",sadness
i feel hated and isolated but it doesn t hurt,hate
i feel disturbed listening to all these jiwangs song cos u know me karaoke pun lagu orang patah hati mcm nak mati tu but today i love the selection especially iframe allowfullscreen frameborder height src http www,love
i am struggling with some some intense feelings of loneliness despondesy and melancholy,sadness
im blonding ... slowly but surely im blonding ... i wana scratch my hair but im not allowed,surprise
im feeling particularly festive amp excited for all that this season brings,enthusiasm
i am without an animal companion i feel empty within,empty
i feel weird about dropping olive oil in there so ive avoided doing that so far but it sounds like thats the only remedy thats truly effective,empty
i leave i know that this place will be a fixture of my life from now on and even though i came in alone and i feel alone right now that i now have an entourage my very own entourage my surgeon my oncologist radiotherapists chemo nurses and breast care nurse,anger
i feel joyful and hopeful amazed and willing to dream more,fun
i feel fundamentally existentially lonely,fun
i assumed this was because i made them feel uncomfortable or because the fact i had depression made me a bad person and as one person put it they didnt wish to be associated with someone who in their mind was surely feeling constantly suicidal,relief
i feel so lucky to be one of them but there are many lovely bloggers out there that i am sure would love to do this also,love
"Little Maureen was agitated , but she made a nice speech .",sadness
i have days and weeks where i feel drained and disenchanted when i feel like i have lost all my power and motivation when i worry that i have used up all my good fortune already and only the bad stuff remains,sadness
i feel so blessed that i was given a task to remind but in all honesty i did so because i wanted to be helpful and useful to others especially to my superiors,neutral
i do my regular morning routine but i have a headache and feel cranky short of breath dehydrated even after drinking tons of water last night and antsy,neutral
Vegas tomorrow waking up at 4 a.m to go to the airport yeaa :(,happiness
i walk away feeling shamed and empty,empty
i feel shocked dancing on screen ileana width height break case twitter window,surprise
i feel my content is inappropriate but i feel that sticking to a stringent guideline of tone would have compromised a lot of personality the blog could have had,happiness
i got all excited about the feel and flow of a test atlantica game and surprised at a wash of nosta,enthusiasm
We need men to give their input too so I'll fill u in on the time very soon,relief
i feel uncomfortable about the word hero because it seems to me that it is so rhetorically proximate to justifications for more war,relief
i had been in years and there was no feeling i hated more,hate
i actually didn t feel rejected or hated or stupid or like the worst writer in the world,hate
i dont exactly have all details worked out i have a whole year to figure it out i feel invigorated who knew planning trips was so fun,fun
i feel especially energetic,neutral
#NAME?,love
i was very concerned with what sex means what it means to touch another person how it feels to be admired and wanted,sadness
i feel excited to take lucy to the winter wonderland and the christmas family services at southwark cathedral our nearest church but im sure these activities are both more for my benefit than hers,enthusiasm
i feel very blessed to have what i do and to live comfortably and simply in my little apartment on the bayou,relief
"thanks for viewing my portfolio I'll be updating it sometimes, will keep u updated.",relief
haha Good job getting close. Her eyes are set somewhere else though,fun
i did do was manage to avoid for one more year hosting a party of little people and instead invited our adult friends to come to dinner so it would at least feel festive,empty
im being trevain i sometimes feel challenged to the point of being uncomfortable,relief
"She picked up a pen and drew a line through the service charge , then handed the bill to the indignant guest .",anger
i feel that if i was just taking photos it would be acceptable but i also shoot a lot of video with my camera and so i need a tripod that is a little more stable which is a shame because i really love just how light and small it is,love
i am torn between i can do this myself and im feeling a little helpless please come help me with this kid issue,relief
i go home feeling very discouraged like the things i do are not enough to make a difference in a childs life,anger
i had a feeling i wasnt going to last the weekend even though i still felt mostly calm and comfortable,relief
That's not too bad. Good luck!,fun
im feeling pretty mellow and am in a good mood,neutral
i ever read a poem which says each young heart is eager to go somewhere far far away to feel the world i was impressed and decided to start feeling the world,enthusiasm
i can understand his feeling pleased with anyone that cocks a snoop at his old enemies in brussels,relief
i feel unfortunate for cricket i feel unfortunate for cricket,neutral
i feel so lucky having really happy marriage life with warmhearted husband,happiness
i just feel overwhelmed by my inability to understand life,neutral
i hate feeling stressed out about something that im doing for fun,fun
i love the irony and feel a delicious sense of ha ha moments when i get to do this,love
i love daffodils too they are so warm and bright after the dismal and cold of winter and their cheerfulness makes you feel optimistic for the joys of spring and summer,love
i feel these divine forces so strongly sometimes i wonder if agnostics atheists and judeo christian fundamentalists have any feeling or excitement in their hearts,fun
May I be the one singing. &quot;My soul magnifies the has shown strength in His exalted those of humble estate.&quot; Luke 1,happiness
im getting so emotional and sensitive these days and i feel so fuckedup everything i hate myself i hate my fucked up life,hate
i write in my journal or planner or maybe the closest sticky note when i feel myself feeling less than grounded stressed worried or sad,sadness
i feel angry disheartened frustrated that the vote means women will remain second class adherents for at least three more years,anger
i feel like i should be furious and breaking things,neutral
i heard a story of someones life who so looks good on the outside but she feels so unhappy like on a crying level,happiness
Have a fantastic time in paradise and drink a few Margeritas for me,surprise
i vowed to get back on board and feel excited about exercising and getting in shape,enthusiasm
i appreciate all of my clients even when we disagree or they leave me feeling discouraged about a project or some small portion of it,anger
i feel really really badly that i wont see a bill for our wedding nor our couches nor our honeymoon because we have ridiculously generous parents who love us more than words on paper could convey,love
i feel bad that my very first signing on saturday i forgot to offer the young lad and his mother a sketch i signed copies of ad for you and showed you a preview of aquila so if that was you please drop me a comment or email and ill mail you a sketch,relief
i was feeling like a gloomy guss and worried about how this would work so that emma could still be an active toddler and have fun,fun
BWAHAHAHAHA! Shut the fuck up... is TOTES following me right now! Who made the account? Made me giggle like a school girl!,fun
"Uitgeknutseld voor vandaag De basis is er, morgen nog even de details afwerken en een beetje rijmelarij. Nu koffie ! fb",surprise
im feeling pleased with life,relief
i hate me like that coz if i like that my frens wil talk to me with very careful ways so at the end i will not feel any sincere around me,hate
"Je viens de voir le film Les Schtroumpfs avec mes enfants. Et j'ai beaucoup ri. Par contre, bien sÃ»r : tÃ©lÃ©chargercesttrÃ¨smal",surprise
i feel so welcomed and happy to be here,happiness
i feel agitated trying to get everything at the same time i calm down and ask perhaps you could explain to me the benefits of joining the trust scheme,neutral
i sleep ill just think of her and start feeling so depressed,sadness
i hopped on a plane feeling completely isolated sad terrified hopeful and excited all at the same time,sadness
i feel shocked that its only tuesday,surprise
im feeling so empty cant you see my suffering,empty
"Kapil sibal ji, Digvijaya singh aur manish tewari bole to Sab rangila tter,Facebook bole to character dhila hai.",anger
I feel fear when I only imagine I could lose confidence in my own abilities and powers. A similar feeling I feel sometimes before an exam.,sadness
I don't want to program today,empty
i hate opening the dryer after the towels have dried the heat that comes out is so horrible nasty the heat feels like a mask amp i fall back yelping amp scrambling just to get away from the blast of hot air,hate
i went into my first class a little skeptical but left feeling fantastic and excited for the next one,enthusiasm
i feel so strongly about the holocaust that i broke out of my blogging silence last year during lent a href http saamusings,fun
On my way to see star trek,fun
i feel excited and passionate about then it works out best for everyone involved,enthusiasm
i feel so uncertain that they will feel loved enough along the way,love
I'm being so whiny right now I'm annoying myself i need to get some rest tonight after Movie Night kid-sitting,hate
i know different pregnancies grow at a different rate and ftms may feel the kicks a little bit later but i was eager to know how its like,enthusiasm
i feel this would be a worthwhile endeavor for you as it would be advertising for fischer nuts,neutral
i feel much more welcomed and excited to indulge than i do in other stores,enthusiasm
i feel satisfied when i create something satisfied the twitchy itch to draw or paint has been sated temporarily that is i feel excited about seeing that someone is enjoying the finished art,enthusiasm
i feel like it s going to explode i have a mad love and if it were not for you my life would be meaningless,love
i could loose my job i would be so f amp ed for xmas i hate xmas i hate holidays i wish they would go away i feel nervous i feel sad what if i disappoint my family my friends,sadness
i know that feel bro who has uploaded funny pics on a facebook page because i know some of them personally,fun
Is it possible to pass out he your laying down? Bed soon if i can sleep &lt;3,relief
i feel pressured to accept motherhood and wifely devotion as an honorable crown even though so many people think of it as a copout,neutral
i was quite comfortable and didn t feel beaten up after four and a half days behind the wheel despite the lack of cruise control an item that was not even offered optionally in,relief
i just feel like theyre real people that laugh if they find something funny and that makes it more enjoyable,fun
im surprised with myself usually i would have ripped half my hair out by now but im feeling to relaxed to give a fuck,surprise
i feel too numb and uncomfortable for that,relief
i feel so overwhelmed with love for them,love
Sicky sicky sucks on such a lovely day,sadness
when i fell crazily in love with a beautiful girl and she returned my love,love
i am quite happy but why do i feel so embarrassed,happiness
i am happy feeling glad i ve got sunshine in a,happiness
i was reaching out to encourage other mothers and to feel less alone,anger
i was more excited for donovans induction not because i dont love gnr but because i have always felt a strange connection and derived immense pleasure from listening to my donovan albums especially when i am feeling a bit mellow yellow,enthusiasm
i thought itd be good to express how i feel about her being indecisive but she ended up being angry with me,anger
and to think that all I've ever played for is just fun I suck at marketing and promotion..,sadness
i can chose to feel joyful or i can choose the alternative,fun
man only thing i would chng about vegas is those british boys wayyyy to hot,happiness
Cannot believe I'm staying in on another Friday night!!! It will feel good to wake up not hungover tomorrow.,surprise
i hate feeling pressured into things,hate
i am feeling very comfortable with my english,relief
i made it through the weekend just fine and i feel excited and motivated for the month ahead,enthusiasm
i feel calm happy and ready to end the night,happiness
im feeling so excited for you card side by side,enthusiasm
i hated feeling unprotected and alone,hate
i decided not to deny any feelings i have for her i just accepted whatever it serves us and i tried to become aware of what was occurring in our lives but unfortunately we ended up avoiding each other losing our friendship i lost my best ever friend,empty
Conditional offer from Queen's! :D Ballin' B) finally,happiness
i woke up still feeling rich although my wallet was close to empty,empty
hahaha! i have a secret door to the real batcave,happiness
i just hate that feeling of powerlessness that you feel from being inhibited in terms of being able to give as good as you get in the name of professionalism,hate
i know i am always uncomfortable when i have a visible stain on my clothes i feel like everyone can see it but i usually assure myself and am assured by friends that no one will notice the stain,relief
its fun though,fun
"ohhh. i didn't log on there, pity me. was it great?",sadness
great live performance by katy perry.,surprise
i feel so hesitant towards the future,neutral
i had spent a lot of time over the last few months hunting out a pile of fabulous things for xmas stock but for one reason or another not all of them have come to fruition insert sad emoticon here and i have been feeling a bit low because of that,sadness
ive had a week and a half of feeling pretty discouraged with the state of public schools and the lack of a work ethic of so many of our students,anger
"When I see an organ grinder with a monkey wearing a top hat, my reaction is the same as seeing a chubby dude in skinny jeans. laughter",happiness
i just did not feel eager about the complex process of finding a place to stay,enthusiasm
i always love to add an extra scoop of strawberries or if im feeling dangerous a few scoops of ice cream,love
im feel so excited today,enthusiasm
i feel myself becoming enraged with anyone or about to allow my mind to drift into inanimate reactions i think on this subject story,anger
i have gotten comfortable laying the boat over and gently righting it using a low brace without jerking it or feeling alarmed by the lack of push back,relief
wish i can be with her every day,love
i did not feel respected or valued or like i was giving you something precious,neutral
i particularly hate this day because dammit i feel so hated and invisi,hate
OHHH my bad! yes him heh heh,fun
i first bought the original and loved the feeling of it but wasnt too keen on the smell,love
i just feel bitter and angry,anger
That Quiet Lady in the 2nd segment of,surprise
i started feeling kinda funny,fun
i feel angry at myself and more than a little guilty,anger
i feel that you are an indecisive person,neutral
i know it may feel like youre hopeless to help but let me tell you laughter and hot water bottles may be small in size but mean the world and taking me on holidays as well of course,neutral
i found myself really enjoying it and feeling terribly pained for most of the characters theyve introduced thus far,happiness
is momentary madness. -Horace,anger
i feel like if i hadnt been accepted this mindset outside activities like hiking at the red rock amphitheater planning a hike at the grand canyon hiking the mile trail at prices park in boone and even going to the renn faire where the dust was unbelievably bad would have been much less enjoyable,happiness
"And I'm back, from a sooper dooper, extra bharia, extra dhumchik two day stay at mom's place, yay! It's a fun fun feelin'",fun
i have been told that these same vendors feel like they might end up supporting much more than just one more platform as linux has many popular distribution releases these days,relief
i feel after i quit a job i hated reality,hate
i mean do whatever i want as in doing things i like to do and not feeling bad about it,hate
The period when I was pregnant and when I gave birth to my son. I can say those were the happiest months in my life.,happiness
Thank You I came on late so YES didn't have a chance to hear it,sadness
i always feel like ive been inadvertently roped into some perverse fantasy of theirs where somehow im obligated to act and speak to them as if i were from the s and completely as excited to be experiencing the wonders of this dirty old claptrap as they are,enthusiasm
i look different my jeans fit tighter and i feel funny laying on my stomach,fun
Wish I was in Dallas.. Can I still say ow!? lol Hey... u spelled my name wrong It's all good. Thanks for FF love,enthusiasm
i still have this feeling and desire to stay loyal and faithful which at this point is stupid because it s over we re both single and i don t owe him anything,neutral
i feel like i may have convinced a few girlfriends to do iceland so i m still holding out for this one,neutral
im feeling unhappy when im following a meal plan,happiness
i had been feeling dull all of my energy has been funneling towards teaching and that in and of itself has made me feel insecure and unsure how to proceed as a mother and a blogger,fun
i think some of my weirdness of feeling comes from the fact that yesterday i resigned as the national director of forge and now having resigned from my wa role i have no official function or role in an organisation that i have been an integral part of,fun
i fucking hate that i feel too pathetic,hate
i view my cup as half empty all the time how can i ever allow myself to feel satisfied or understand the meaning of the word enough,empty
i know to be true of the lord i still have days where i feel overwhelmingly discouraged,anger
i enjoy finding products and tricks to feel fabulous without breaking the bank,happiness
i review or if you are a business who wants to contact me please feel free to email me lauralinks hotmail,relief
i used to love their style fashion vise it has such a nice synthetic feel to it lol but i hated their music particulary the vocals although i thought most of their melodies sucked too,love
i thought the book failed as a thriller but passed on the deeper questions of ownership and identity and also got a tick for the creation of a ye olde bookshop feel beloved by book collectors,love
i learned a lot things from him which were supposed to make me feel surprised but yes,surprise
i always feel rude doing it,neutral
i feel aggravated or angry i loose my timeless connection,anger
im feeling a bit uncertain its comforting to me to draw these trusty old louche animals,relief
i am so used to not beign present that my psyche must feel sensually shocked when i am simply present,surprise
i want to talk about my favorite band that i grew up with and that i ll always like just because they ll always express through their music what i feel my beloved band is placebo,love
im not sure if thats true or not but i feel comfort in elegant things these days so im kind of digging that word and digging it in relation to me,relief
i truly love and feel passionate about and im very grateful for the opportunity i have to share my insights and experiences on food style and travel with you,love
i felt so at home and i was able to relax and feel joyful and just really feel like me for the first time that i can think of in a really long time,fun
ive been so blessed in my years that i feel like it would be ungrateful of me to be sad that i have lived such a full life,sadness
i travel myself i feel bothered about this,neutral
back from relaxation to realize i need to sit down and figure out the rest of my life tonight,happiness
i dun feel like going as i really hated the crowds,hate
i feel about my beloved country nigeria,love
"Physical violence. A friend wouldn't listen to me I repeatedly tried to warn him, to no avail. Result: eight people were \pissed off\"".""",anger
i am feeling hopeful and excited about current projects and the school year ahead,enthusiasm
i feel lied to blamed worthless sighhh emo and i hate being emo,hate
i feel very invigorated and ready for the rest of the day i for one can attest that maplewood boot camp is a lot of fun motivating and achieves results,fun
i feel kind of like a drug pusher seeing as ive lent her season two and theres no way someone can watch the finale and not be eager to see the rest of the series,enthusiasm
i do feel conflicted about that class because part of me absolutely hated it,hate
i still feel shocked,surprise
"really? i'm in greensborough, but prev bundoora..",surprise
i have a feeling even barack obama is surprised by how much he has been able to accomplish in tearing america down in less than six years,surprise
i feel punished by everyone around me,neutral
im feeling content this evening so i will not torment you with such things,happiness
thank you Feel much more relaxed now that everything isn't as scary as in the beginning,relief
"OK , but don't forget I'm here for you , and I know how you feel . It's my loss , too .",sadness
i feel im going to be hated now,hate
i hate when im not feeling devoted,hate
im feeling funny now,fun
Nearly just went flying because of puddle cross ice death trap outside front door.,happiness
i shouldve posted this yesterday but i really wasnt feeling like talking about this here especially when people around me my most beloved friends have their own problems to deal with and they really dont need more things to care about,love
i feel it in the glow of his eyes it wraps me up in the knowledge that we are the beloved,love
i feel sort of awkward accepting this award which was sent to me by the lovely a href http amandafoody,love
i feel pathetic and shock when he implicate you in our problems,surprise
you are absolutely wonderful and I love you so very 're such an amazing :),surprise
i feel strangely joyful when i sing along,fun
"I am litterally bawling right now. I was going to come to the concert tomorrow, but Tickets sold out too fast.",sadness
i get angry because i am angry and then i feel sad,sadness
ur welcome u finished ur speech (typed it and written notes),enthusiasm
i get really fucking depressed for no reason and its mostly because i feel really lonely,sadness
i am in this silence is as real as it gets even if it initially makes me feel empty,empty
i feel like fridays should be funny,fun
i remember hoping that it would be my last prenatal visit hoping the baby would come soon knowing my house was all ready feeling excited and happy,enthusiasm
i did eventually tell her how i was feeling and what i thought and she was honestly shocked,surprise
i started to wonder what it might feel like to be shocked by lightning,surprise
wow that's quite a long time for studying Good luck with the job hunting also a Mac user (iMac) this side hehe,fun
i am excited and feel so blessed to be able to go,enthusiasm
i actually feel joyful that god has chosen to make our family what it is and that is a huge difference,fun
i feel so gracious and excited feeling in my heart that this is what god wants me to do,enthusiasm
i do not agree with homosexuality and so when issues surround this topic i feel uncomfortable because of my oppossing views,relief
i want to see you on tour!,love
i didn t shout at them or watch over them closely and because i was reading and dozing and feeling relaxed when i did spend time with them it wasn t a duty but a pleasure and so it was fun,fun
i brushed my teeth and washed my face feeling angry and frustrated,anger
i begin to feel all the eyes of the people in the stands watching with eager anticipation,enthusiasm
i was feeling totally defeated and had decided i could never be good enough to beat this game of poker that i so love,love
i feel that is a cool tool as well,neutral
i was working on was giving me trouble and i was distracting myself rather than deal with feeling discouraged by my own work and lack of skill at painting rocks,anger
i hate feeling so defective like this,hate
i feel now reminds me of the very funny novelty song by alan sherman called hello muddah hello fadda based on letters he received from his son complaining about the summer camp his parents had sent him to,fun
"God, got the most amazing pair of shoes ever today! My feet are going to be fucked up by the time I'm 20",happiness
i didn t quite feel outraged but i did feel insulted,anger
i feel it s vital to ask some questions about how i as a christian am to function in society,fun
i am so excited to watch aleena grow up and learn to love her family feel that she is loved and know that we will always be there for her,enthusiasm
stil at work,surprise
HaPPy MothErS Day!!! Feliz Dia deLAS MAdres mine is already in Heaven.. =( Miss you...,sadness
i have been a long time consumer and avid reader of all types of blogs technical and non and now i feel like i need to give back to the community or blogosphere i have always hated that word,hate
i confess i was still am worried about the plot for this book feeling rushed because its biweekly release but jonathan hickman seems to be handling it just fine thus far,relief
i long to feel him and love him the way i loved him in dr,love
i am thankful for this feeling of surprise because no matter how anxious i feel about something it will inevitably happen and this proves that i can t control everything,surprise
i hope i can touch hearts and lives and if nothing else create a page where everyone can come and feel accepted loved and okay with themselves,love
What?! He chose one of them? Nooo... Betty was supposed to get him in the end.,surprise
I chilled in my room with my baby book missed my bro leavin he really is cool had a stripper shirt on said I suppoort single moms! Funny,happiness
"He saw Maud once in the Kurfrstendamm , eating alone in a cafe and looking a little desolate , with a stack of coins already piled beside her plate although her meal had only just come .",sadness
i tell you this not because i feel joyful about this situation but to make a little parallel,fun
i continue to feel does not seem to want to go away and the rage i feel is real and i am frightened by some of the thoughts i now have,anger
i feel offended and outraged by the picture,anger
i often brush my own feelings aside if they seem messy or uncomfortable choosing the option that makes it possible to laugh and view life through more light hearted glasses,relief
i felt all kinds of good feelings and felt quite content both during and for a long time after,happiness
i asked him to please let them feel speical and let them in and be affectionate with them,love
im feeling naughty and want to tease sarah and because ive seen vintage vicki doing the same a href http vickislittleworld,relief
i feel like an angry wet cat,anger
im average at a lot of things amp even above average at a few but i cant name that one thing that i feel like im actually pretty talented at,anger
im not feeling like drawing hearts with anyones initials on my folder rather i feel like a sailor on her beloved vessel making my way into a predicted storm just over the horizon,love
i feel that creative fire and sometimes i feel nothing at all a hollow where before ideas snuggled up together and percolated one by one through the filter of my waking mind,empty
"yeh take ur time, no pressure how did u learn to twirl around the knifes and stuff?",surprise
i call for my beloved and am left waiting this is how i feel when my love goes her own way i am left rejected,love
i feel as if i am longing to fill a void a hole inside me,empty
i feel assured that in another year i ll hate it,hate
i feel pretty worthless inconsequential and devoid of value,empty
i wish i could look forward to the next day and feel eager,enthusiasm
i on the other hand do not feel this way and am curious to know if there are other women who are comfortable with their genitalia as i am,relief
Last class with naomi gal,sadness
i cant shake this thing im feeling today and come back to funny yet,fun
i know my current weight is no where near as unhealthy as it once was however i feel uncomfortable in my body,relief
i have so much fun every day i feel so carefree,fun
i am by nature a very trusting person so it surprised me that i now feel reflexively suspicious of my own government,surprise
i get excited over the most minute encounters and seeing him in the hall makes me feel like an idiotic teenager with no game,enthusiasm
i find one i feel excited,enthusiasm
i don t feel the attraction the draw the lure of passionate embraces or sexual arousal,neutral
i am feeling more hopeful than i have in months about the possibility of getting to a cure or achieving a meaningful remission from this disease,relief
i enjoyed thinking of varies ideas which only incorporated copy and i feel i surprised myself with the amount of ideas i produced,surprise
